english,turkish
be,olmak
of,ile ilgili
a,a
to,ile
have,Sahip olmak
to,ile
I,ben
for,için
you,sen
he,o
with,ile birlikte
do,yapmak
they,onlar
this,Bu
but,Ancak
at,-den
his,onun
from,itibaren
that,o
n't,değil
by,tarafından
or,veya
she,o
their,onların
will,irade
who,kim
can,olabilmek
get,elde etmek
all,herşey
would,istemek
make,Yapmak
about,hakkında
my,benim
know,bilmek
as,olarak
there,orada
up,yukarı
time,zaman
year,yıl
so,Bu yüzden
think,düşünmek
see,görmek
which,hangisi
some,bazı
them,onlara
people,insanlar
me,Ben
out,dışarı
just,sadece
come,gelmek
now,şimdi
could,abilir
than,hariç
like,beğenmek
then,o zamanlar
how,nasıl
its,onun
two,2
our,bizim
more,daha fazla
these,bunlar
want,istemek
way,yol
look,bakmak
first,ilk
new,yeni
because,çünkü
day,gün
more,daha fazla
here,Burada
find,bulmak
give,vermek
thing,şey
well,kuyu
