english,turkish
be,olmak
and,ve
of,ile ilgili
a,a
in,içinde
to,ile
have,Sahip olmak
to,ile
it,BT
I,ben
that,o
for,için
you,sen
he,o
with,ile birlikte
on,üzerinde
do,yapmak
s,s
say,söylemek
they,onlar
this,Bu
but,Ancak
at,-den
we,biz
his,onun
from,itibaren
that,o
not,olumsuzluk
n't,değil
by,tarafından
or,veya
she,o
as,olarak
what,ne
go,Git
their,onların
will,irade
who,kim
can,olabilmek
get,elde etmek
if,Eğer
all,herşey
would,istemek
her,o
make,Yapmak
about,hakkında
my,benim
know,bilmek
as,olarak
there,orada
one,bir tane
up,yukarı
time,zaman
year,yıl
so,Bu yüzden
think,düşünmek
see,görmek
which,hangisi
when,ne zaman
some,bazı
them,onlara
people,insanlar
take,almak
me,Ben
out,dışarı
into,içine
just,sadece
him,o
come,gelmek
your,sizin
now,şimdi
could,abilir
than,hariç
like,beğenmek
other,diğer
then,o zamanlar
how,nasıl
its,onun
two,2
our,bizim
more,daha fazla
these,bunlar
want,istemek
way,yol
no,hayır
look,bakmak
first,ilk
also,ayrıca
new,yeni
because,çünkü
day,gün
more,daha fazla
use,kullanmak
man,adam
here,Burada
find,bulmak
give,vermek
thing,şey
well,kuyu
